Track ID,Title,Album,Artist,BPM,Comment,Composer,Genre,Grouping,ISRC,Lyrics,ProNumber,Release Date,Year,External ID,Internal comment,Client comment,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
64057105,TIL I'M DYIN' I'M TRYIN',Cowboy Country,Zach Linley,96,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Patrik Sheridan (50%) ASCAP,Country,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00099,"Vocalist: Zach Linley - Dallas, TX",911311979,,2024,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,V1   ,,,,,,,
,,,,,,,,,,The plant closed – moved to Mexico  ,,,,,,,
,,,,,ONE STOP ,,,,,So much for investin' -- here at home  ,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,Ain’t no work now in our small town  ,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,Just take a look around – kind’a run-down  ,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,V1a,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,My girl left after I lost my job  ,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,Went back to live with her mom n’  ,,,,,,,
,,,,,Several placements in past year.  ,,,,,"Really…I mean…who can blame her (Oh, man)   ",,,,,,,
,,,,,,,,,,Good luck’s been a stranger ,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,Ch   ,,,,,,,
,,,,,,,,,,Get up every mornin’ -- doin’ my best   ,,,,,,,
,,,,,,,,,,Reminding myself how I’m truly blessed  ,,,,,,,
,,,,,,,,,,"Got my health, yeah, n’ I got my pride  ",,,,,,,
,,,,,,,,,,"No matter what, I’m gettin’ by…  ",,,,,,,
,,,,,,,,,,Till I’m dyin' I’m tryin' ,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,V2,,,,,,,
,,,,,,,,,,Could move away – leave this life I made  ,,,,,,,
,,,,,,,,,,But my great great grand-folks came in 1908  ,,,,,,,
,,,,,,,,,,Family - a few friends – that’s all I got left (except’)  ,,,,,,,
,,,,,,,,,,An empty house full ‘a debt n’ regret ,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ch2,,,,,,,
,,,,,,,,,,Get up every mornin’ -- doin’ my best   ,,,,,,,
,,,,,,,,,,Reminding myself how I’m truly blessed  ,,,,,,,
,,,,,,,,,,"Got my health, yeah, n’ I got my pride  ",,,,,,,
,,,,,,,,,,"No matter what, I’m gettin’ by…  ",,,,,,,
,,,,,,,,,,"Till I’m dyin’, I’m tryin’ ",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Br ,,,,,,,
,,,,,,,,,,I want things to change   ,,,,,,,
,,,,,,,,,,[Don't wanna explain] Gonna go insane ,,,,,,,
,,,,,,,,,,Feel tired n’ alone   ,,,,,,,
,,,,,,,,,,What’s left in my soul  ,,,,,,,
,,,,,,,,,,Just enough to keep on a’ [tryin’],,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ch3,,,,,,,
,,,,,,,,,,Get up every mornin’ -- doin’ my best   ,,,,,,,
,,,,,,,,,,Reminding myself how I’m truly blessed  ,,,,,,,
,,,,,,,,,,"Got my health, yeah, n’ I got my pride  ",,,,,,,
,,,,,,,,,,"No matter what, I’m gettin’ by…  ",,,,,,,
,,,,,,,,,,"Till I’m dying, I’m trying  ",,,,,,,
,,,,,,,,,,"Oh, I keep on trying",,,,,,,
,,,,,,,,,,"Til I’m dying, I’m trying",,,,,,,
,,,,,,,,,,"Oh, I keep on trying",,,,,,,
64057117,YOU STOP TALKING - East Houston 1988,Vintage,Scott Monti,96,HERE FOR YOUR EAR!,G Putnam (1000%) ASCAP,Vintage Rock,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00137,Holding hands the other day,911307337,,1988,,,,
,,,,,,,,,,Chasing words we never say,,,,,,,
,,,,,Let's please chat. ,,,,,Seems you won't take the time,,,,,,,
,,,,,,,,,,My song n' dance ain't worth a dime,,,,,,,
,,,,,ONE STOP ,,,,,Behind you hide those roaming hills,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,Your distant eyes give me the chills,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,"So I pull you close to me, but",,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,Your eyes fly n’ I can’t see,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,You stop talking,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,You won't say what's on your mind,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,You stop talking,,,,,,,
,,,,,Several placements in past year.  ,,,,,Your eyes say that there's nothin' left to find n’,,,,,,,
,,,,,,,,,,I start walking…walking away,,,,,,,
,,,,,Thanks for listening! ,,,,,Will you please give me a hand,,,,,,,
,,,,,Greg,,,,,Somehow to try to understand,,,,,,,
,,,,,,,,,,If you would just give me a chance,,,,,,,
,,,,,,,,,,To explain the circumstance,,,,,,,
,,,,,,,,,,You aim your every word (like),,,,,,,
,,,,,,,,,,You saw those things you heard,,,,,,,
,,,,,,,,,,There's no way that you can see,,,,,,,
,,,,,,,,,,"They're just stories – baby, it’s not me",,,,,,,
,,,,,,,,,,You stop talking,,,,,,,
,,,,,,,,,,You won't say what's on your mind,,,,,,,
,,,,,,,,,,You stop talking,,,,,,,
,,,,,,,,,,Your eyes say that there's nothin' left to find n’,,,,,,,
,,,,,,,,,,I start walking…walking away,,,,,,,
,,,,,,,,,,By now we've gone too far,,,,,,,
,,,,,,,,,,To be here the way we are…,,,,,,,
,,,,,,,,,,When you look into my eyes,,,,,,,
,,,,,,,,,,Can't you see my words aren't lies,,,,,,,
,,,,,,,,,,There's no one else quite like you,,,,,,,
,,,,,,,,,,Who makes me smile the way you that you do,,,,,,,
,,,,,,,,,,There’s no reason for you to hide ,,,,,,,
,,,,,,,,,,"C’mon girl, let me back inside",,,,,,,
,,,,,,,,,,You stop talking,,,,,,,
,,,,,,,,,,You won't say what's on your mind,,,,,,,
,,,,,,,,,,You stop talking,,,,,,,
,,,,,,,,,,Your eyes say that there's nothin' left to find n’,,,,,,,
,,,,,,,,,,I start walking…walking away,,,,,,,
,,,,,,,,,,You stop talkin',,,,,,,
,,,,,,,,,,You won't say what's on your mind,,,,,,,
,,,,,,,,,,You stop talkin',,,,,,,
,,,,,,,,,,Your eyes say that there's nothin' left to find……,,,,,,,
64057123,CROSSIN' WIRES - Rec'd 1988 - East Houston,VINTAGE,Scott Monti,76,HERE FOR YOUR EAR!,G Putnam (100%) ASCAP,Vintage 1988,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00128,I still stare through your blowing hair,911307337,,1988,,,,
,,,,,,,,,,When I go places we used to go n’,,,,,,,
,,,,,Let's please chat. ,,,,,I still care though you’re never there ,,,,,,,
,,,,,,,,,,When I see faces we used to know,,,,,,,
,,,,,ONE STOP ,,,,,My heart’s inside each second,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,Still craving to be reckoned,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,Crossin’ wires is never fair,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,Crossin’ wires like you just don’t care,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,What am I supposed to do with my broken heart,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,How’m I gonna keep it from falling apart,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,‘What am I going to do when the pieces fall,,,,,,,
,,,,,Several placements in past year.  ,,,,,What am I gonna do when my eyes tell all,,,,,,,
,,,,,,,,,,Every dawn this world feels so strange,,,,,,,
,,,,,Thanks for listening! ,,,,,I keep thinking I’ll wake up to your smile,,,,,,,
,,,,,Greg,,,,,Every dusk – see the world has not changed,,,,,,,
,,,,,,,,,,Memories sweep circles – they won’t reconcile,,,,,,,
,,,,,,,,,,My heart drags through each minute,,,,,,,
,,,,,,,,,,Goes so slow when you’re not in it,,,,,,,
,,,,,,,,,,Crossin’ wires is never fair n’ ,,,,,,,
,,,,,,,,,,Crossin' wires n' mine are bare,,,,,,,
,,,,,,,,,,What am I supposed to do with my broken heart,,,,,,,
,,,,,,,,,,How’m I gonna keep it from falling apart,,,,,,,
,,,,,,,,,,‘What am I going to do when the pieces fall,,,,,,,
,,,,,,,,,,What am I gonna do when my eyes tell all,,,,,,,
,,,,,,,,,,I still stare through the cold night air,,,,,,,
,,,,,,,,,,My mind goes places – but I don’t know where n’,,,,,,,
,,,,,,,,,,I still care though you’re not here,,,,,,,
,,,,,,,,,,Lost in spaces of my despair,,,,,,,
,,,,,,,,,,My heart trails each dragging hour,,,,,,,
,,,,,,,,,,Times sweet taste is growing sour,,,,,,,
,,,,,,,,,,Crossing wires is never fair,,,,,,,
,,,,,,,,,,Crossing wires like you just don’t care,,,,,,,
,,,,,,,,,,What am I supposed to do with my broken heart,,,,,,,
,,,,,,,,,,How’m I gonna keep it from falling apart,,,,,,,
,,,,,,,,,,‘What am I going to do when the pieces fall,,,,,,,
,,,,,,,,,,What am I gonna do when my eyes tell all,,,,,,,
,,,,,,,,,,What am I gonna with this broken heart,,,,,,,
,,,,,,,,,,When you’re just not there?,,,,,,,
,,,,,,,,,,What am I gonna with this broken heart,,,,,,,
,,,,,,,,,,When you just don’t care…,,,,,,,
,,,,,,,,,,What am I gonna with this broken heart,,,,,,,
64057147,FEEL FREE - INSTRO,Desperate n’ Dirty,G Putnam Music,114,HERE FOR YOUR EAR!,G Putnam (34%) ASCAP Erik Nelson (33%) ASCAP Patrik Sheridan (33%) ASCAP,"Pop, Country",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00019,,911309907,,2024,,,,
,,,,,,,,,,,,,,,,,
,,,,,Let's please chat. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,ONE STOP ,,,,,,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,,,,,,,,
,,,,,Several placements in past year.  ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Thanks for listening! ,,,,,,,,,,,,
,,,,,Greg,,,,,,,,,,,,
64057224,MISTY MIDNIGHT BLUE,NATU Ought To,NATU Visinia,110,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Pop/Country,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00138,It’s all the_distance n’ ,909618667,,2023,,,,
,,,,,,,,,,Feelin’ what’s missin’ ,,,,,,,
,,,,,Let's please chat. ,,,,,When there’s no phone call ,,,,,,,
,,,,,,,,,,Don’t hear nothin’ at all n’ ,,,,,,,
,,,,,ONE STOP ,,,,,Nobody's list'nin'  ,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,Starin'_at the stars _ ,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,Wond'rin_where_you are  ,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,Wherever - it's too far ,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,Guess who's the fool who's ,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,Losin'_himself -- after losin'_you ,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,I've_stared_at sunsets ,,,,,,,
,,,,,Several placements in past year.  ,,,,,Felt_how cold nights get_n',,,,,,,
,,,,,,,,,,How slow time always goes ,,,,,,,
,,,,,Thanks for listening! ,,,,,When ev'ry night I know,,,,,,,
,,,,,Greg,,,,,The sun's gonna find the moon n'_ ,,,,,,,
,,,,,,,,,,This heartache's gonna_bring _me you ,,,,,,,
,,,,,,,,,,You - my misty Midnight Blue ,,,,,,,
,,,,,,,,,,You - my misty Midnight Blue,,,,,,,
,,,,,,,,,,Life's never_perfect ,,,,,,,
,,,,,,,,,,You made it worth it ,,,,,,,
,,,,,,,,,,Until you left me ,,,,,,,
,,,,,,,,,,On that cold_mornin' ,,,,,,,
,,,,,,,,,,Now nothin' is workin'_ ,,,,,,,
,,,,,,,,,,I've_stared_at sunsets ,,,,,,,
,,,,,,,,,,Felt_how cold nights get_n',,,,,,,
,,,,,,,,,,How slow time always goes ,,,,,,,
,,,,,,,,,,When ev'ry night I know,,,,,,,
,,,,,,,,,,The sun's gonna find the moon n'_ ,,,,,,,
,,,,,,,,,,This heartache's gonna_bring _me you ,,,,,,,
,,,,,,,,,,You - my misty Midnight Blue ,,,,,,,
,,,,,,,,,,You - my misty Midnight Blue,,,,,,,
,,,,,,,,,,"Now, here I am all alone_ ",,,,,,,
,,,,,,,,,,Singin' to the night ... n'_you ,,,,,,,
,,,,,,,,,,You...you...you ,,,,,,,
,,,,,,,,,,You...you...you ,,,,,,,
,,,,,,,,,,I've_stared_at sunsets ,,,,,,,
,,,,,,,,,,Felt_how cold nights get_n' ,,,,,,,
,,,,,,,,,,How slow time always goes ,,,,,,,
,,,,,,,,,,When ev'ry night I know ,,,,,,,
,,,,,,,,,,The sun's gonna find the moon n'_ ,,,,,,,
,,,,,,,,,,This Heartache's gonna_bring_me you ,,,,,,,
,,,,,,,,,,You - my misty Midnight Blue ,,,,,,,
,,,,,,,,,,You - my misty Midnight Blue ,,,,,,,
,,,,,,,,,,You...you...you ,,,,,,,
64057298,OH SO CASUALLY,The Struggle,Katie Beste,91,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Patrik Sheridan (50%) ASCAP,Mod Country,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00070,Ev’ry mornin’ I wake up - thinkin’ ‘bout you,911307737,,,,,,
,,,,,,,,,,Ev’ry day I do my thing - just gettin’ through,,,,,,,
,,,,,Let's please chat. ,,,,,Ev’ry ev’nin’ I go home - hopin' somethin’s new,,,,,,,
,,,,,,,,,,Ev’ry night watch the same ol’ the sky -- without a clue ,,,,,,,
,,,,,ONE STOP ,,,,,Can’t get you outa’ my heart ,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,Can’t get you outa’ my dreams ,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,I’ve searched ev’ry star ,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,Crawled up ev’ry moonbeam ,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,Don’t understand this pain ,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,Sure don’t know what love means ,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,Since you left me.......oh so casually ,,,,,,,
,,,,,Several placements in past year.  ,,,,,Ev’ry thought turns to memories - about you and I,,,,,,,
,,,,,,,,,,Ev’ry question finds no end - ‘cept the lonely night,,,,,,,
,,,,,Thanks for listening! ,,,,,Any answer’s so far away - behind a million whys,,,,,,,
,,,,,Greg,,,,,Ev’ry reason’s so timeless - inside the word goodbye ,,,,,,,
,,,,,,,,,,Can’t get you outa’ my heart ,,,,,,,
,,,,,,,,,,Can’t get you outa’ my dreams ,,,,,,,
,,,,,,,,,,I’ve searched ev’ry star ,,,,,,,
,,,,,,,,,,Crawled up ev’ry moonbeam ,,,,,,,
,,,,,,,,,,Don’t understand this pain ,,,,,,,
,,,,,,,,,,Sure don’t know what love means ,,,,,,,
,,,,,,,,,,Since you left me.......oh so casually ,,,,,,,
,,,,,,,,,,You act like nothin’s wrong,,,,,,,
,,,,,,,,,,Ignore ev’ry thin’ we done,,,,,,,
,,,,,,,,,,I come close – you turn away,,,,,,,
,,,,,,,,,,Like you don’t even know my name,,,,,,,
,,,,,,,,,,It’s all right (2x) ,,,,,,,
,,,,,,,,,,It was one – big – lie ,,,,,,,
,,,,,,,,,,Can’t get you outa’ my heart ,,,,,,,
,,,,,,,,,,Can’t get you outa’ my dreams ,,,,,,,
,,,,,,,,,,I’ve searched ev’ry star ,,,,,,,
,,,,,,,,,,Crawled up ev’ry moonbeam ,,,,,,,
,,,,,,,,,,Don’t understand this pain ,,,,,,,
,,,,,,,,,,Sure don’t know what love means ,,,,,,,
,,,,,,,,,,Since you left me.......oh so casually,,,,,,,
64057475,ANOTHER DANCE,Sexy Swagger,Reed,87,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Singer/Songwriter Rock Indie Folk,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00210,(The) Dance floor was full but she held my eye (her),911345468,,2023,,,,
,,,,,,,,,,Long hair wavin’ ‘neath the twinklin’ lights ,,,,,,,
,,,,,Let's please chat. ,,,,,Well we stepped to the right n’ on back to the left ,,,,,,,
,,,,,,,,,,Her tight black dress sexy as sexy gets,,,,,,,
,,,,,ONE STOP ,,,,,Pulled her close to me - it opened up the night ,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,I held her tight n’ time was hers n’ mine n’,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,When the song ended - she turned to walk away (but),,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,"Couldn’t help myself - tapped her arm n’ said, HEY ",,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,"(Tell me, girl) ",,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,How about another dance?,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,This guy’s feelin’ true romance,,,,,,,
,,,,,Several placements in past year.  ,,,,,Your skin feels right to my hands (yeah),,,,,,,
,,,,,,,,,,I understand you don’t know who I am ,,,,,,,
,,,,,Thanks for listening! ,,,,,"I’m a warm, kind, honest man",,,,,,,
,,,,,Greg,,,,,If you wanna find out 1st hand…,,,,,,,
,,,,,,,,,,How about another dance?      ,,,,,,,
,,,,,,,,,,Ain’t nothin’ wrong with takin’ a chance,,,,,,,
,,,,,,,,,,I requested – she accepted another dance,,,,,,,
,,,,,,,,,,Then we laughed as I put my arms around her back,,,,,,,
,,,,,,,,,,"Right then, I knew she wanted me to ask… ",,,,,,,
,,,,,,,,,,"(Tell me, girl) ",,,,,,,
,,,,,,,,,,How about another dance?,,,,,,,
,,,,,,,,,,This guy’s feelin’ true romance n’,,,,,,,
,,,,,,,,,,Your skin feels right to my hands (yeah),,,,,,,
,,,,,,,,,,I understand you don’t know who I am  ,,,,,,,
,,,,,,,,,,"I’m a warm, kind, honest man",,,,,,,
,,,,,,,,,,If you wanna find out 1st hand…,,,,,,,
,,,,,,,,,,How about another dance?      ,,,,,,,
,,,,,,,,,,Been a lot of places n’ seen so many faces,,,,,,,
,,,,,,,,,,"Lookin’ back at me, but this time I see",,,,,,,
,,,,,,,,,,That special someone n’ that’s my basis,,,,,,,
,,,,,,,,,,For reachin’ out my hand to you n’ askin’  ,,,,,,,
,,,,,,,,,,(Girl) How About another dance?,,,,,,,
,,,,,,,,,,This guy’s feelin’ true romance n’,,,,,,,
,,,,,,,,,,Your skin feels right to my hands (whoa),,,,,,,
,,,,,,,,,,I understand you don’t know who I am ,,,,,,,
,,,,,,,,,,"I’m a warm, kind, honest man",,,,,,,
,,,,,,,,,,Baby let me show you 1st hand (yeah),,,,,,,
,,,,,,,,,,Gonna ask you again n’ again,,,,,,,
,,,,,,,,,,If you keep on sayin’ yes,,,,,,,
,,,,,,,,,,One day – someday - I’ll guess,,,,,,,
,,,,,,,,,,We might take one more chance…,,,,,,,
,,,,,,,,,,It starts with another dance? ,,,,,,,
,,,,,,,,,,"Yeah, how ’bout another dance",,,,,,,
64057722,TIME'S PRESENT - Indie Pop - Teen,Change Me,Amanda Blake,124,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,Indie Pop,ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00112,I winced with ev’ry second's tick n’,906109589,,2023,,,,
,,,,,,,,,,Tocks followed but they didn't come quick,,,,,,,
,,,,,Let's please chat. ,,,,,I had been a fool -- who broke a rule___,,,,,,,
,,,,,,,,,,In my room I’d hear ev’ry step,,,,,,,
,,,,,ONE STOP ,,,,,Dad's comin' n' I was facin’ death,,,,,,,
,,,,,Site: https/::www.gputnammusic.com ,,,,,It took so long ,,,,,,,
,,,,,Txt Greg Putnam @ 309-530-4626 ,,,,,- time was bein' cruel,,,,,,,
,,,,,gputnam@gputnammusic.com  ,,,,,If you've ever taken the time to notice,,,,,,,
,,,,,ASCAP 802139278 (Writer)  ,,,,,When ya' look ahead ,,,,,,,
,,,,,ASCAP 848819778 (Publisher) ,,,,,- time's at its slowest,,,,,,,
,,,,,Featured songwriter recognized by TRO-ESSEX ,,,,,"Then, ya' look back n' it's gotten past us",,,,,,,
,,,,,Several placements in past year.  ,,,,,"As it turns out, the years fly by the fastest",,,,,,,
,,,,,,,,,,Slow down to look where time went,,,,,,,
,,,,,Thanks for listening! ,,,,,Take a minute to find the moment,,,,,,,
,,,,,Greg,,,,,See time's -- present,,,,,,,
,,,,,,,,,,Only days before graduation,,,,,,,
,,,,,,,,,,Seemed like centuries of suffocation,,,,,,,
,,,,,,,,,,School couldn't end fast enough___,,,,,,,
,,,,,,,,,,Summer came n' when I looked back,,,,,,,
,,,,,,,,,,The whole dang thing ended too fast ,,,,,,,
,,,,,,,,,,I wasn't really done growing' up,,,,,,,
,,,,,,,,,,If you've ever taken the time to notice,,,,,,,
,,,,,,,,,,When ya' look ahead ,,,,,,,
,,,,,,,,,,- time's at its slowest,,,,,,,
,,,,,,,,,,"Then, ya' look back n' it's gotten past us",,,,,,,
,,,,,,,,,,"As it turns out, the years fly by the fastest",,,,,,,
,,,,,,,,,,Slow down to look where time went,,,,,,,
,,,,,,,,,,Take a minute to find the moment,,,,,,,
,,,,,,,,,,See time's present,,,,,,,
,,,,,,,,,,All these years seem to just race by,,,,,,,
,,,,,,,,,,Go past in a blink of an eye n',,,,,,,
,,,,,,,,,,"Good or bad, it’s the path we paved (so)",,,,,,,
,,,,,,,,,,Look to see how now became…today,,,,,,,
,,,,,,,,,,If you've ever taken the time to notice,,,,,,,
,,,,,,,,,,When ya' look ahead - time's at its slowest,,,,,,,
,,,,,,,,,,"Then, ya' look back n' it's gotten past us",,,,,,,
,,,,,,,,,,"As it turns out, the years fly by the fastest",,,,,,,
,,,,,,,,,,Slow down to look where time went,,,,,,,
,,,,,,,,,,Take a minute to find the moment,,,,,,,
,,,,,,,,,,See time's present,,,,,,,
,,,,,,,,,,Time's present,,,,,,,
64059291,THAT'S A HAVE-TO,Female,Jade Lotzow,94,HERE FOR YOUR EAR!,G Putnam (50%) ASCAP Erik Nelson (50%) ASCAP,"Pop, Country",ONE STOP - G Putnam Music owns Masters & Publishing Control,QZ-GD6-21-00069,Never will forget that day or that yard,908608113,,,,,,
,,,,,,,,,,Daddy pushed my bike – my heart was poundin’ hard ,,,,,,,
